batch_id,production_date,shift,line_id,machine_id,operator_id,parts_produced,defects_found,defect_type,mold_temp_c,pour_temp_c,moisture_pct,sand_ratio
B1026,15-05-2024,Night,L-2,M-02,OP-05,81,21,Blowhole,222.4,1413.7,3.89,0.81
B1027,23-06-2024,Day,L-3,M-03,OP-15,81,25,Cold Shut,231.6,1437.2,2.45,0.89
B1028,29-01-2024,Night,L-3,M-03,OP-05,90,33,Misrun,208.6,1405,3.27,0.89
B1029,01-01-2024,Night,L-1,M-01,OP-12,113,47,Cold Shut,200.1,1447.9,4.61,0.83
B1030,09-05-2024,Day,L-3,M-03,OP-15,108,34,Blowhole,217.2,1427.9,3.91,0.82
B1031,12-06-2024,Night,L-3,M-03,OP-09,98,36,Shrinkage,208.6,1411,3.7,0.87
B1032,11-02-2024,Night,L-1,M-01,OP-09,118,31,Blowhole,218.1,1410.2,3.65,0.81
B1033,05-05-2024,Night,L-3,M-03,OP-01,105,38,Blowhole,210.6,1420.7,4.21,0.87
B1034,02-03-2024,Night,L-2,M-02,OP-01,111,29,Shrinkage,223,1432.9,3.19,0.82
B1035,22-01-2024,Day,L-3,M-03,OP-12,82,26,Misrun,218.5,1431,4,0.9
B1036,02-02-2024,Day,L-1,M-01,OP-11,127,27,Misrun,228.7,1404.3,4.41,0.86
B1037,08-03-2024,Day,L-3,M-03,OP-09,95,30,Misrun,205.4,1409.3,4.2,0.82
B1038,20-03-2024,Day,L-1,M-01,OP-07,87,19,Cold Shut,201.3,1429.1,4.5,0.85
B1039,31-01-2024,Night,L-2,M-02,OP-04,101,27,Shrinkage,209.2,1402.8,3.58,0.86
B1040,06-01-2024,Night,L-1,M-01,OP-10,87,36,Shrinkage,237.3,1423.1,5.05,0.85
B1041,02-01-2024,Day,L-3,M-03,OP-02,112,52,Blowhole,199.3,1402.1,4.64,0.86
B1042,09-01-2024,Day,L-1,M-01,OP-14,107,23,Cold Shut,213.3,1411.4,2.95,0.87
B1043,12-03-2024,Day,L-1,M-01,OP-11,116,25,Misrun,205.5,1426.1,4.11,0.87
B1044,26-05-2024,Day,L-1,M-01,OP-10,100,22,Misrun,186.8,1402.8,3.77,0.84
B1045,14-04-2024,Night,L-1,M-01,OP-04,121,32,Blowhole,201.2,1420.8,4.32,0.85
B1046,31-03-2024,Night,L-1,M-01,OP-07,111,29,Misrun,201.4,1435.8,3.4,0.82
B1047,21-06-2024,Day,L-2,M-02,OP-11,105,38,Blowhole,200.4,1431,4.81,0.89
B1048,27-03-2024,Night,L-1,M-01,OP-13,108,29,Blowhole,216.6,1389.6,3.73,0.81
B1049,18-02-2024,Day,L-1,M-01,OP-09,86,31,Misrun,223.3,1415.1,5.21,0.88
B1050,16-02-2024,Night,L-1,M-01,OP-05,95,25,Misrun,228.9,1408.9,4.25,0.83
B1051,23-04-2024,Day,L-1,M-01,OP-13,104,22,Blowhole,213.5,1417.1,4.3,0.79
B1052,24-01-2024,Day,L-1,M-01,OP-15,116,42,Shrinkage,215.5,1416.9,5.29,0.81
B1053,04-05-2024,Night,L-1,M-01,OP-08,83,22,Shrinkage,226.6,1421.6,3.93,0.83
B1054,12-02-2024,Day,L-2,M-02,OP-07,119,26,Blowhole,203.4,1417.8,2.78,0.88
B1055,26-04-2024,Night,L-2,M-02,OP-05,107,28,Misrun,227.8,1427.6,3.6,0.83
B1056,09-02-2024,Night,L-3,M-03,OP-04,80,29,Cold Shut,213.2,1410.2,3.97,0.8
B1057,28-05-2024,Day,L-1,M-01,OP-12,127,27,Blowhole,202.1,1448.7,4.39,0.91
B1058,15-01-2024,Night,L-3,M-03,OP-01,108,39,Misrun,222.7,1407.7,3.14,0.83
B1059,15-01-2024,Day,L-3,M-03,OP-09,108,34,Blowhole,209.8,1443.1,4.03,0.82
B1060,01-06-2024,Day,L-1,M-01,OP-02,118,25,Shrinkage,205.8,1383.6,3.86,0.85
B1061,25-05-2024,Day,L-2,M-02,OP-04,84,18,Blowhole,241.9,1422.9,3.97,0.85
B1062,17-04-2024,Day,L-3,M-03,OP-11,124,39,Cold Shut,216.5,1415.9,4.06,0.85
B1063,20-06-2024,Day,L-2,M-02,OP-12,103,38,Cold Shut,212.3,1442.1,4.72,0.84
B1064,11-04-2024,Night,L-1,M-01,OP-03,122,32,Cold Shut,212.8,1423.8,4.09,0.83
B1065,19-01-2024,Night,L-2,M-02,OP-01,96,25,Misrun,198.8,1438.6,3.39,0.89
B1066,19-01-2024,Day,L-3,M-03,OP-09,120,56,Shrinkage,215.3,1414.4,5.57,0.84
B1067,03-02-2024,Night,L-3,M-03,OP-15,115,59,Cold Shut,187.8,1413.8,4.51,0.89
B1068,04-04-2024,Day,L-1,M-01,OP-05,103,22,Shrinkage,203.3,1396.7,2.95,0.88
B1069,05-06-2024,Night,L-2,M-02,OP-13,111,29,Blowhole,218.3,1431.5,4.05,0.87
B1070,18-06-2024,Night,L-3,M-03,OP-02,120,62,Shrinkage,185.4,1381.2,4.64,0.85
B1071,28-01-2024,Day,L-2,M-02,OP-12,92,20,Shrinkage,207.3,1427.8,4.03,0.83
B1072,03-06-2024,Night,L-2,M-02,OP-04,93,25,Cold Shut,201.5,1445.4,4.06,0.85
B1073,09-05-2024,Night,L-1,M-01,OP-08,84,22,Cold Shut,221.6,1396.8,3.5,0.87
B1074,11-06-2024,Day,L-1,M-01,OP-07,102,22,Cold Shut,213.2,1418.7,3.96,0.9
B1075,26-03-2024,Day,L-1,M-01,OP-13,90,33,Shrinkage,205.7,1435.4,4.63,0.86
B1076,11-02-2024,Night,L-3,M-03,OP-12,129,47,Misrun,220.6,1416.2,3.09,0.86
B1077,23-05-2024,Night,L-3,M-03,OP-01,101,37,Blowhole,213.1,1411.8,3.7,0.89
B1078,19-05-2024,Day,L-1,M-01,OP-01,106,23,Cold Shut,194.1,1397.4,3.65,0.84
B1079,20-04-2024,Day,L-3,M-03,OP-03,129,41,Blowhole,222.7,1414.3,3.72,0.87
B1080,11-01-2024,Night,L-2,M-02,OP-15,92,24,Cold Shut,201.5,1393.7,3.82,0.85
B1081,19-06-2024,Day,L-1,M-01,OP-02,112,24,Cold Shut,211,1415.2,4.36,0.83
B1082,07-06-2024,Night,L-3,M-03,OP-12,99,36,Shrinkage,224.4,1400.5,3.71,0.83
B1083,15-02-2024,Day,L-1,M-01,OP-15,90,19,Misrun,195.5,1429.6,4.12,0.87
B1084,26-03-2024,Day,L-1,M-01,OP-13,107,23,Misrun,202.4,1438.8,3.35,0.82
B1085,09-03-2024,Day,L-3,M-03,OP-03,116,37,Blowhole,219.5,1443.1,4.44,0.83
B1086,30-04-2024,Day,L-2,M-02,OP-04,107,23,Shrinkage,226.8,1408.9,3.75,0.8
B1087,19-03-2024,Night,L-2,M-02,OP-14,104,43,Shrinkage,209.3,1413,4.69,0.84
B1088,17-06-2024,Day,L-1,M-01,OP-04,80,17,Misrun,223.7,1414.8,4.44,0.83
B1089,18-01-2024,Night,L-2,M-02,OP-13,104,28,Cold Shut,194.1,1433.6,4.12,0.83
B1090,22-06-2024,Night,L-2,M-02,OP-14,127,34,Cold Shut,226.4,1407.7,4.35,0.86
B1091,07-03-2024,Day,L-1,M-01,OP-03,82,30,Cold Shut,206.9,1419.7,5.26,0.8
B1092,01-06-2024,Day,L-1,M-01,OP-07,125,27,Cold Shut,213.3,1401,3.61,0.84
B1093,21-04-2024,Night,L-3,M-03,OP-10,119,44,Blowhole,213.3,1434.2,3.13,0.83
B1094,06-03-2024,Day,L-2,M-02,OP-01,113,41,Misrun,219.4,1413.6,5.09,0.83
B1095,03-04-2024,Day,L-1,M-01,OP-07,123,45,Blowhole,199.8,1417.5,4.92,0.84
B1096,08-06-2024,Night,L-3,M-03,OP-06,126,65,Blowhole,221.5,1409.2,5.18,0.87
B1097,09-05-2024,Night,L-3,M-03,OP-05,118,61,Misrun,198.2,1388.6,4.94,0.79
B1098,27-06-2024,Night,L-2,M-02,OP-05,113,30,Shrinkage,205.1,1382.4,4.34,0.89
B1099,19-06-2024,Night,L-1,M-01,OP-07,121,32,Shrinkage,213.8,1414.2,3.01,0.85
B1100,13-04-2024,Night,L-3,M-03,OP-09,81,42,Blowhole,208.8,1393.4,4.99,0.85
B1101,23-02-2024,Night,L-2,M-02,OP-07,102,27,Cold Shut,204.9,1400.9,4.46,0.82
B1102,23-04-2024,Night,L-2,M-02,OP-11,82,22,Shrinkage,210.8,1431.1,4.23,0.86
B1103,13-02-2024,Night,L-3,M-03,OP-11,98,36,Blowhole,207.6,1430.7,3.85,0.85
B1104,24-01-2024,Night,L-2,M-02,OP-14,85,22,Shrinkage,204.5,1399.5,4.13,0.81
B1105,27-02-2024,Night,L-3,M-03,OP-13,93,34,Shrinkage,209.6,1397.6,3.35,0.82
B1106,12-01-2024,Day,L-1,M-01,OP-04,101,37,Misrun,202.6,1405.7,4.8,0.87
B1107,26-04-2024,Day,L-3,M-03,OP-07,94,44,Shrinkage,217.7,1416,4.76,0.83
B1108,06-05-2024,Night,L-3,M-03,OP-07,93,48,Shrinkage,215.8,1411.3,5.35,0.86
B1109,28-01-2024,Day,L-1,M-01,OP-13,125,27,Misrun,201.3,1428.5,3.95,0.84
B1110,27-06-2024,Day,L-1,M-01,OP-09,116,25,Misrun,194.4,1395.6,4.38,0.86
B1111,01-02-2024,Day,L-1,M-01,OP-08,92,34,Shrinkage,209.9,1428.2,5.38,0.89
B1112,23-04-2024,Night,L-2,M-02,OP-10,126,52,Misrun,230.8,1423.3,5.29,0.89
B1113,10-02-2024,Night,L-3,M-03,OP-12,123,45,Misrun,224,1405,3.93,0.81
B1114,04-03-2024,Night,L-2,M-02,OP-14,113,30,Cold Shut,215,1390.4,4.19,0.84
B1115,09-06-2024,Night,L-3,M-03,OP-04,101,37,Cold Shut,221.9,1396.1,3.77,0.85
B1116,14-03-2024,Day,L-2,M-02,OP-04,109,23,Cold Shut,212.7,1402.5,4.23,0.85
B1117,18-05-2024,Night,L-2,M-02,OP-02,110,29,Shrinkage,209.9,1428.6,4.32,0.86
B1118,08-04-2024,Day,L-1,M-01,OP-12,117,43,Shrinkage,230.4,1418.1,4.57,0.9
B1119,17-01-2024,Day,L-3,M-03,OP-07,124,39,Misrun,202.4,1423.6,3.74,0.8
B1120,16-04-2024,Night,L-2,M-02,OP-01,112,30,Shrinkage,219.9,1440.6,4.35,0.87
B1121,29-05-2024,Night,L-2,M-02,OP-12,117,31,Blowhole,237.8,1419,3.4,0.8
B1122,02-05-2024,Night,L-3,M-03,OP-01,112,41,Cold Shut,230,1382.9,3.68,0.91
B1123,17-04-2024,Night,L-2,M-02,OP-09,81,34,Shrinkage,218.4,1406.3,4.9,0.82
B1124,10-03-2024,Day,L-2,M-02,OP-07,96,21,Misrun,222.9,1399.6,4.15,0.86
B1125,27-03-2024,Night,L-1,M-01,OP-11,110,29,Misrun,214.9,1416.3,4.32,0.9
B1126,29-04-2024,Day,L-3,M-03,OP-15,108,34,Shrinkage,205.1,1408.8,4.44,0.84
B1127,10-04-2024,Day,L-3,M-03,OP-10,100,32,Blowhole,217.4,1404.8,3.8,0.86
B1128,04-02-2024,Night,L-1,M-01,OP-14,104,28,Misrun,207.5,1429.2,4.01,0.89
B1129,07-03-2024,Day,L-1,M-01,OP-07,93,20,Cold Shut,186.7,1427.1,4.38,0.9
B1130,24-03-2024,Night,L-1,M-01,OP-06,112,30,Misrun,218.3,1411.7,4.43,0.78
B1131,05-03-2024,Night,L-2,M-02,OP-14,119,32,Blowhole,191.3,1392,4.37,0.83
B1132,18-05-2024,Day,L-2,M-02,OP-01,87,19,Cold Shut,209.9,1422.7,3.58,0.88
B1133,15-06-2024,Day,L-1,M-01,OP-01,109,23,Blowhole,205.4,1418.7,4.33,0.82
B1134,06-01-2024,Day,L-1,M-01,OP-10,116,25,Shrinkage,216.6,1420.8,3.85,0.82
B1135,01-05-2024,Day,L-1,M-01,OP-11,84,18,Blowhole,222.9,1427.4,3.96,0.84
B1136,29-04-2024,Day,L-3,M-03,OP-12,84,26,Cold Shut,223.3,1409.2,2.4,0.91
B1137,04-06-2024,Day,L-2,M-02,OP-10,105,23,Blowhole,192.2,1396.3,3.66,0.89
B1138,28-01-2024,Night,L-1,M-01,OP-10,126,52,Blowhole,207.3,1392.5,4.77,0.84
B1139,11-04-2024,Night,L-2,M-02,OP-12,119,49,Shrinkage,212.2,1423.9,5.45,0.86
B1140,27-01-2024,Day,L-1,M-01,OP-12,121,26,Cold Shut,203.7,1434.5,3.78,0.84
B1141,24-05-2024,Day,L-3,M-03,OP-13,115,36,Blowhole,193.1,1431.4,4.24,0.9
B1142,18-06-2024,Night,L-2,M-02,OP-06,88,23,Blowhole,214.8,1424.9,3.64,0.89
B1143,04-01-2024,Night,L-3,M-03,OP-14,114,59,Misrun,207.7,1380.2,4.8,0.87
B1144,20-04-2024,Day,L-2,M-02,OP-06,97,35,Misrun,205.6,1414.4,4.79,0.85
B1145,21-04-2024,Day,L-3,M-03,OP-03,103,32,Cold Shut,202.8,1419.2,3.36,0.88
B1146,29-04-2024,Night,L-3,M-03,OP-07,105,38,Cold Shut,235.7,1398.4,4.01,0.85
B1147,23-01-2024,Day,L-2,M-02,OP-05,92,20,Misrun,204.3,1386.3,3.25,0.88
B1148,25-05-2024,Night,L-1,M-01,OP-10,109,45,Misrun,223.9,1398.4,6,0.77
B1149,06-05-2024,Day,L-2,M-02,OP-14,107,23,Cold Shut,206.4,1361.5,3.81,0.86
B1150,24-02-2024,Night,L-1,M-01,OP-06,87,23,Cold Shut,198.9,1403.3,3.21,0.9
B1151,01-06-2024,Night,L-2,M-02,OP-12,102,27,Cold Shut,193.8,1430.4,4.02,0.86
B1152,12-05-2024,Day,L-3,M-03,OP-04,102,32,Blowhole,215,1413,4.27,0.82
B1153,05-05-2024,Night,L-1,M-01,OP-09,126,52,Shrinkage,210.1,1424.4,4.8,0.85
B1154,14-06-2024,Night,L-3,M-03,OP-12,125,46,Misrun,199.2,1432.4,3.95,0.87
B1155,24-01-2024,Day,L-2,M-02,OP-05,110,24,Shrinkage,223.6,1411.1,3.78,0.87
B1156,19-03-2024,Day,L-2,M-02,OP-11,100,22,Cold Shut,197.6,1441.5,3.03,0.83
B1157,18-04-2024,Night,L-2,M-02,OP-12,81,21,Cold Shut,205.2,1413.5,3.97,0.88
B1158,10-03-2024,Night,L-2,M-02,OP-05,109,45,Cold Shut,206.4,1409.6,4.86,0.86
B1159,19-02-2024,Day,L-1,M-01,OP-06,109,40,Blowhole,206.6,1414.5,4.88,0.89
B1160,19-02-2024,Day,L-3,M-03,OP-04,96,30,Misrun,196.5,1389.3,4.42,0.87
B1161,26-01-2024,Night,L-2,M-02,OP-14,101,27,Shrinkage,193.7,1416.5,3.3,0.87
B1162,02-04-2024,Day,L-2,M-02,OP-03,96,21,Cold Shut,204.4,1376.3,4.15,0.86
B1163,11-03-2024,Day,L-1,M-01,OP-01,101,22,Blowhole,226.7,1429.7,4.38,0.88
B1164,27-06-2024,Night,L-3,M-03,OP-03,86,44,Misrun,224,1418.9,5.03,0.84
B1165,26-05-2024,Day,L-1,M-01,OP-05,125,27,Misrun,195.7,1418,3.96,0.87
B1166,28-03-2024,Night,L-2,M-02,OP-03,100,27,Blowhole,212.3,1433.1,4.04,0.86
B1167,30-01-2024,Night,L-2,M-02,OP-14,119,32,Blowhole,214.9,1454.5,3.54,0.86
B1168,19-01-2024,Night,L-2,M-02,OP-10,84,22,Blowhole,197.7,1413.1,2.97,0.85
B1169,24-05-2024,Day,L-1,M-01,OP-05,122,26,Blowhole,188.8,1399.3,4.46,0.84
B1170,22-05-2024,Day,L-1,M-01,OP-13,119,26,Misrun,203.7,1441.6,4.18,0.9
B1171,13-05-2024,Day,L-3,M-03,OP-07,118,55,Misrun,212.2,1406.1,4.89,0.91
B1172,30-05-2024,Night,L-2,M-02,OP-07,91,38,Cold Shut,218.2,1416.8,4.95,0.87
B1173,05-06-2024,Day,L-3,M-03,OP-12,102,47,Blowhole,223.5,1435.5,4.79,0.88
B1174,08-03-2024,Day,L-1,M-01,OP-11,120,26,Blowhole,212.7,1418.1,4.5,0.81
B1175,14-02-2024,Day,L-1,M-01,OP-09,86,31,Blowhole,221.3,1411.8,4.51,0.85
B1176,14-04-2024,Day,L-1,M-01,OP-08,118,43,Misrun,223.5,1374.3,5.15,0.89
B1177,29-02-2024,Day,L-2,M-02,OP-05,103,22,Cold Shut,212.2,1410.4,3.9,0.84
B1178,19-01-2024,Night,L-3,M-03,OP-11,119,44,Shrinkage,223.3,1395.7,2.74,0.86
B1179,18-04-2024,Day,L-2,M-02,OP-02,83,18,Shrinkage,218.7,1430.7,3.74,0.86
B1180,09-03-2024,Day,L-3,M-03,OP-14,121,38,Shrinkage,212.6,1429.9,4.05,0.85
B1181,12-02-2024,Day,L-1,M-01,OP-13,92,34,Cold Shut,222.2,1415.7,4.7,0.83
B1182,22-04-2024,Night,L-3,M-03,OP-02,108,39,Misrun,193.9,1406.7,4.18,0.87
B1183,28-06-2024,Night,L-3,M-03,OP-07,89,32,Cold Shut,227.4,1405,4.01,0.86
B1184,22-04-2024,Night,L-3,M-03,OP-02,128,47,Blowhole,199.9,1402.9,3.99,0.82
B1185,03-06-2024,Night,L-2,M-02,OP-05,116,31,Blowhole,225.5,1418.5,4.18,0.82
B1186,21-06-2024,Day,L-1,M-01,OP-14,91,33,Blowhole,218.3,1392,4.59,0.86
B1187,27-05-2024,Night,L-3,M-03,OP-01,113,58,Shrinkage,194.3,1439.3,5.02,0.85
B1188,12-03-2024,Night,L-2,M-02,OP-03,113,30,Misrun,215.2,1413.4,3.91,0.89
B1189,24-01-2024,Night,L-3,M-03,OP-08,102,53,Cold Shut,201.7,1406.4,5.19,0.86
B1190,23-03-2024,Night,L-2,M-02,OP-11,111,46,Blowhole,187.5,1405,5.76,0.82
B1191,15-04-2024,Night,L-1,M-01,OP-12,107,28,Misrun,215.1,1414.5,3.78,0.84
B1192,20-05-2024,Night,L-2,M-02,OP-01,90,24,Misrun,196.2,1403,4.08,0.83
B1193,05-03-2024,Night,L-1,M-01,OP-06,84,22,Blowhole,219.1,1405.5,4.23,0.85
B1194,17-06-2024,Day,L-2,M-02,OP-14,82,30,Misrun,193.6,1398,5.13,0.86
B1195,18-02-2024,Day,L-2,M-02,OP-09,85,31,Cold Shut,203.6,1416,4.97,0.84
B1196,09-06-2024,Night,L-3,M-03,OP-08,127,66,Blowhole,220.7,1422.6,4.77,0.89
B1197,20-05-2024,Night,L-1,M-01,OP-03,106,28,Cold Shut,206.3,1422.2,3.75,0.82
B1198,01-02-2024,Night,L-2,M-02,OP-01,109,45,Shrinkage,202.2,1420.1,5.3,0.83
B1199,20-03-2024,Day,L-3,M-03,OP-09,92,29,Blowhole,196.4,1415.7,4.33,0.87
B1200,24-01-2024,Night,L-3,M-03,OP-04,103,38,Blowhole,221.9,1417.8,4.05,0.84
B1201,14-06-2024,Day,L-2,M-02,OP-14,107,39,Shrinkage,205.5,1417.8,4.63,0.86
B1202,10-05-2024,Night,L-2,M-02,OP-12,106,44,Cold Shut,207.7,1405.9,4.54,0.91
B1203,30-04-2024,Night,L-2,M-02,OP-04,101,27,Misrun,213.7,1416.9,3.86,0.83
B1204,08-04-2024,Day,L-3,M-03,OP-04,86,40,Shrinkage,208.9,1408.1,5,0.81
B1205,16-04-2024,Night,L-1,M-01,OP-06,83,22,Cold Shut,214.4,1382,3.19,0.83
B1206,17-03-2024,Night,L-1,M-01,OP-14,108,45,Misrun,202.8,1407.6,4.78,0.87
B1207,17-05-2024,Night,L-1,M-01,OP-08,90,24,Cold Shut,208.9,1397.8,4.04,0.87
B1208,26-04-2024,Night,L-2,M-02,OP-15,99,26,Cold Shut,209.5,1404.6,3.13,0.86
B1209,26-05-2024,Day,L-1,M-01,OP-07,117,25,Shrinkage,210.7,1405,3.7,0.84
B1210,22-03-2024,Day,L-2,M-02,OP-12,91,20,Misrun,197.8,1453.5,3.39,0.85
B1211,08-04-2024,Night,L-3,M-03,OP-11,104,38,Shrinkage,215.7,1421.9,4.44,0.86
B1212,02-02-2024,Day,L-2,M-02,OP-09,86,18,Cold Shut,222.5,1419.8,3.54,0.86
B1213,26-01-2024,Night,L-1,M-01,OP-09,104,28,Misrun,195.1,1424.1,3.2,0.86
B1214,14-04-2024,Day,L-1,M-01,OP-14,101,22,Shrinkage,203.7,1423.5,3.09,0.88
B1215,08-03-2024,Night,L-1,M-01,OP-06,92,24,Misrun,200.6,1397.3,4.12,0.9
B1216,25-03-2024,Day,L-3,M-03,OP-14,126,40,Misrun,217.9,1426.4,3.09,0.86
B1217,18-05-2024,Night,L-2,M-02,OP-01,117,31,Blowhole,203.8,1422,4.38,0.86
B1218,28-02-2024,Night,L-1,M-01,OP-12,91,38,Blowhole,215.2,1414.7,5.88,0.9
B1219,11-06-2024,Day,L-2,M-02,OP-12,111,41,Blowhole,196.1,1416.4,4.92,0.82
B1220,26-06-2024,Day,L-2,M-02,OP-05,117,43,Blowhole,204.3,1424.6,5.46,0.87
B1221,15-01-2024,Night,L-1,M-01,OP-05,123,33,Cold Shut,228.1,1403,4.39,0.86
B1222,07-02-2024,Night,L-2,M-02,OP-04,87,23,Misrun,215.2,1422.8,4.3,0.89
B1223,13-02-2024,Day,L-3,M-03,OP-03,86,40,Blowhole,223.5,1444.6,4.66,0.86
B1224,07-06-2024,Night,L-3,M-03,OP-11,82,42,Shrinkage,227.3,1408.1,5.38,0.88
B1225,29-02-2024,Day,L-2,M-02,OP-08,104,22,Cold Shut,215.2,1421.4,3.98,0.83
B1226,19-06-2024,Night,L-2,M-02,OP-01,111,46,Misrun,200.7,1413.6,6.28,0.87
B1227,19-01-2024,Day,L-2,M-02,OP-08,111,24,Cold Shut,208.2,1461.4,3.86,0.83
B1228,12-06-2024,Night,L-3,M-03,OP-07,108,39,Cold Shut,206.6,1409.4,3.26,0.86
B1229,20-02-2024,Night,L-2,M-02,OP-07,100,42,Misrun,191.4,1428.1,4.85,0.82
B1230,07-04-2024,Day,L-1,M-01,OP-10,123,27,Cold Shut,219.5,1438.7,4.22,0.94
B1231,28-06-2024,Night,L-3,M-03,OP-05,120,62,Blowhole,220.8,1408.1,5.38,0.85
B1232,11-03-2024,Night,L-3,M-03,OP-01,113,58,Blowhole,197.2,1432,4.62,0.8
B1233,14-03-2024,Night,L-3,M-03,OP-13,97,50,Shrinkage,214,1426.7,5.16,0.83
B1234,26-02-2024,Night,L-3,M-03,OP-11,127,66,Shrinkage,212.3,1434.1,5.36,0.78
B1235,22-06-2024,Night,L-3,M-03,OP-13,116,42,Shrinkage,215.4,1432.6,4.18,0.84
B1236,09-06-2024,Day,L-3,M-03,OP-11,126,59,Blowhole,203.1,1442.1,5.28,0.86
B1237,09-01-2024,Night,L-2,M-02,OP-10,96,25,Cold Shut,218.1,1413.7,4.46,0.81
B1238,24-01-2024,Day,L-3,M-03,OP-15,80,25,Cold Shut,209.5,1420.2,3.87,0.86
B1239,14-02-2024,Night,L-2,M-02,OP-04,90,24,Shrinkage,204.1,1429.9,4.09,0.79
B1240,15-05-2024,Night,L-3,M-03,OP-09,91,33,Cold Shut,216.5,1433.5,4.02,0.81
B1241,03-05-2024,Night,L-1,M-01,OP-13,80,21,Cold Shut,224,1395.4,3.68,0.8
B1242,30-01-2024,Night,L-3,M-03,OP-08,126,46,Blowhole,213.8,1446.2,3.97,0.86
B1243,22-06-2024,Day,L-1,M-01,OP-12,107,23,Misrun,204.8,1431.3,4.32,0.85
B1244,24-01-2024,Night,L-3,M-03,OP-13,93,34,Misrun,208.7,1404.7,4.23,0.82
B1245,17-05-2024,Night,L-1,M-01,OP-02,84,22,Misrun,201.2,1401.6,4.33,0.9
B1246,29-05-2024,Night,L-2,M-02,OP-07,129,34,Cold Shut,208.7,1421.8,4.3,0.88
B1247,30-04-2024,Day,L-1,M-01,OP-01,126,27,Cold Shut,199.3,1419.4,2.71,0.85
B1248,14-06-2024,Day,L-3,M-03,OP-02,124,39,Misrun,216,1422.6,3.69,0.83
B1249,15-06-2024,Night,L-3,M-03,OP-07,108,56,Blowhole,215.5,1412.5,4.95,0.82
B1250,10-01-2024,Day,L-1,M-01,OP-05,105,23,Misrun,216.7,1414.6,4.13,0.83
B1251,01-03-2024,Day,L-1,M-01,OP-15,126,27,Shrinkage,212,1416,3.89,0.86
B1252,04-04-2024,Night,L-2,M-02,OP-11,112,47,Misrun,215.1,1417.1,4.63,0.88
B1253,16-04-2024,Day,L-3,M-03,OP-11,120,38,Blowhole,209.4,1403.7,4.41,0.86
B1254,12-03-2024,Night,L-2,M-02,OP-01,127,34,Cold Shut,204,1418.1,3.97,0.84
B1255,23-04-2024,Night,L-1,M-01,OP-04,113,30,Cold Shut,220.5,1401,3.02,0.87
B1256,19-05-2024,Night,L-1,M-01,OP-15,97,26,Cold Shut,206.8,1426.3,3.95,0.88
